name,required,pass,category,reason,actual,expected,tolerance,minimum,maximum,diff_over_tol,tol_over_expected,note
cfast_t420_hot_layer_m,False,True,NON_GATING,required=False,1.01,1.01963,0.55,,,0.018,0.539,"CMV-1: post-opening hot_layer_m — outflow not modelled → upper_gas stays large → layer=0.0 vs CFAST 1.02m (structural gap, Fase 2)."
cfast_t420_co_upper_ppm,False,True,NON_GATING,required=False,100.0,378.838,350.0,,,0.797,0.924,"CMV-1: post-opening CO upper — suppressed fire and no layer stratification (structural gap, Fase 2)."
cfast_t510_hrr_kw,False,True,NON_GATING,required=False,1273.84,1280.0,260.0,,,0.024,0.203,"CMV-1: post-opening HRR — room-avg O2 suppresses fire vs CFAST upper-zone O2 (structural gap, Fase 2)."
cfast_t510_o2,True,True,A_PRIORI,no heuristic triggered,0.1495,0.142756,0.05,,,0.135,0.350,
cfast_t510_temp_upper_c,True,True,A_PRIORI,no heuristic triggered,309.41,307.378,80.0,,,0.025,0.260,
cfast_t510_hot_layer_m,False,True,NON_GATING,required=False,1.01,1.02438,0.55,,,0.026,0.537,"CMV-1: post-opening hot_layer_m — outflow not modelled → upper_gas stays large → layer=0.0 vs CFAST 1.02m (structural gap, Fase 2)."
cfast_t510_co_upper_ppm,False,True,NON_GATING,required=False,100.0,325.76300000000003,350.0,,,0.645,1.074,"CMV-1: post-opening CO upper — suppressed fire and no layer stratification (structural gap, Fase 2)."
cfast_fed_heat_not_explosive,False,True,NON_GATING,required=False,nan,,,,10.0,,,"CMV-1: FED elevated due to prolonged O2-limited combustion with no hot-gas outflow (structural gap, Fase 2)."
cfast_no_temperature_cap,True,True,A_PRIORI,no heuristic triggered,0.0,0.0,0.0,,,,,
cfast_t350_pressure_pa,False,True,NON_GATING,required=False,6.57,167.461,162.9,,,0.988,0.973,CMV-1: window-vented scenario pressure — CFAST ~0 Pa post-opening; t=350 sealed structural gap.
cfast_t420_pressure_pa,False,True,NON_GATING,required=False,1.89,-5.46443,20.0,,,0.368,3.660,CMV-1: window-vented scenario pressure — CFAST ~0 Pa post-opening; t=350 sealed structural gap.
cfast_t510_pressure_pa,False,True,NON_GATING,required=False,1.85,-5.4811,20.0,,,0.367,3.649,CMV-1: window-vented scenario pressure — CFAST ~0 Pa post-opening; t=350 sealed structural gap.
cfast_t350_o2_lower,False,True,NON_GATING,required=False,0.0693,0.204932,0.138,,,0.983,0.673,Fase 2A: lower-zone O2 (CFAST LLO2 near ambient; SF o2_lower now tracked independently — gap closes with two-zone doorway flow).
cfast_t350_co_lower_ppm,False,True,NON_GATING,required=False,0.0,0.0,150.0,,,0.000,,Fase 2C: lower-zone CO now tracked via co_upper_kg; COl= ≈ 0 vs CFAST LLCO ≈ 0.
cfast_t420_o2_lower,False,True,NON_GATING,required=False,0.1658,0.187821,0.023,,,0.957,0.122,Fase 2A: lower-zone O2 (CFAST LLO2 near ambient; SF o2_lower now tracked independently — gap closes with two-zone doorway flow).
cfast_t420_co_lower_ppm,False,True,NON_GATING,required=False,0.0,88.149,150.0,,,0.588,1.702,Fase 2C: lower-zone CO now tracked via co_upper_kg; COl= ≈ 0 vs CFAST LLCO ≈ 0.
cfast_t510_o2_lower,False,True,NON_GATING,required=False,0.1893,0.192407,0.015,,,0.207,0.078,Fase 2A: lower-zone O2 (CFAST LLO2 near ambient; SF o2_lower now tracked independently — gap closes with two-zone doorway flow).
cfast_t510_co_lower_ppm,False,True,NON_GATING,required=False,0.0,65.61540000000001,150.0,,,0.437,2.286,Fase 2C: lower-zone CO now tracked via co_upper_kg; COl= ≈ 0 vs CFAST LLCO ≈ 0.
cfast_rmse_temp_upper_c,True,True,A_PRIORI,no heuristic triggered,34.26232514371513,,,,60.0,,,"CMV-2 Stage-E: temp_upper RMSE ≤ 60°C full simulation (SF=34.3°C, margin 25°C)."
cfast_rmse_o2,False,True,NON_GATING,required=False,0.019794883750203083,,,,0.025,,,CMV-2: O2 RMSE(o2_upper vs ULO2) ≤ 0.025 pre-opening t=0–360s. Apples-to-apples after Fase 1A.
cfast_rmse_hrr_kw,True,True,A_PRIORI,no heuristic triggered,166.4839054165354,,,,300.0,,,"CMV-2 Stage-E: HRR RMSE ≤ 300 kW full simulation (SF=166.5kW, margin 133kW)."
cfast_rmse_co_upper_ppm,True,True,A_PRIORI,no heuristic triggered,220.67056771290206,,,,400.0,,,"CMV-2 Stage-E: CO upper RMSE ≤ 400 ppm full simulation (SF=220.7ppm, margin 179ppm)."
cfast_rmse_hot_layer_m,False,True,NON_GATING,required=False,0.9524625557667609,,,,1.05,,,CMV-2: hot_layer_m RMSE ≤ 1.05 m full simulation. One-zone SF bulk interface vs two-zone CFAST stratified interface — structural gap (Fase 2 two-zone architecture).
cfast_peak_temp_upper_pre_open,True,True,A_PRIORI,no heuristic triggered,244.15,,,100.0,500.0,,,"1.5B Stage-D: pre-opening peak temp_upper in [100,500]°C (CFAST ~210°C at t=300s; SF=244°C). Fire development guard."
cfast_peak_temp_timing_pre_open,False,True,NON_GATING,required=False,240.0,200.0,60.0,,,0.667,0.300,1.5B: pre-opening peak temp_upper timing within ±60s of CFAST.
cfast_peak_co_upper_post_open,True,True,A_PRIORI,no heuristic triggered,809.0,,,200.0,,,,1.5B Stage-D: post-opening CO upper peak >= 200 ppm (SF=809 ppm; one-zone dilutes CO structurally but still far above threshold). CO-spike guard.
cfast_t120_wall_T_mid_c,False,True,NON_GATING,required=False,20.2,25.7533,40.0,,,0.139,1.553,1.5A: wall mid-node temp vs CFAST upper-wall at t=120s (non-gating — one-zone boundary condition).
cfast_t240_wall_T_mid_c,False,True,NON_GATING,required=False,21.0,49.0758,40.0,,,0.702,0.815,1.5A: wall mid-node temp vs CFAST upper-wall at t=240s (non-gating — one-zone boundary condition).
cfast_t360_wall_T_mid_c,False,True,NON_GATING,required=False,23.0,50.0592,40.0,,,0.676,0.799,1.5A: wall mid-node temp vs CFAST upper-wall at t=360s (non-gating — one-zone boundary condition).
cfast_t420_wall_T_mid_c,False,True,NON_GATING,required=False,23.2,73.1612,51.0,,,0.980,0.697,1.5A: wall mid-node temp vs CFAST upper-wall at t=420s (non-gating — one-zone boundary condition).
cfast_t510_wall_T_mid_c,False,True,NON_GATING,required=False,23.5,90.6679,70.0,,,0.960,0.772,1.5A: wall mid-node temp vs CFAST upper-wall at t=510s (non-gating — one-zone boundary condition).
cfast_closed_t210_o2,False,True,NON_GATING,required=False,0.0888,0.0911866,0.018,,,0.133,0.197,"CMV-1: t=210 o2_upper gap — hot layer fills room, homogenization prevents two-zone stratification (structural gap, Fase 2)."
cfast_closed_t210_temp_upper_c,True,True,A_PRIORI,no heuristic triggered,204.79,265.736,80.0,,,0.762,0.301,
cfast_closed_t210_co_upper_ppm,True,True,VACUOUS,tol/|expected|=1.008 > 0.5,1046.0,594.979,600.0,,,0.752,1.008,
cfast_closed_t300_o2,True,True,A_PRIORI,no heuristic triggered,0.0684,0.07402199999999999,0.018,,,0.312,0.243,
cfast_closed_t300_temp_upper_c,True,True,A_PRIORI,no heuristic triggered,215.75,173.005,80.0,,,0.534,0.462,
cfast_closed_t300_co_upper_ppm,True,True,VACUOUS,tol/|expected|=0.908 > 0.5,1020.0,660.5329999999999,600.0,,,0.599,0.908,
cfast_closed_t450_o2,True,True,A_PRIORI,no heuristic triggered,0.0429,0.0531661,0.018,,,0.570,0.339,
cfast_closed_t450_temp_upper_c,True,True,A_PRIORI,no heuristic triggered,124.04,174.794,80.0,,,0.634,0.458,
cfast_closed_t450_co_upper_ppm,True,True,FITTED,|diff|/tol=0.992 > 0.85,1326.0,731.046,600.0,,,0.992,0.821,
cfast_closed_t60_pressure_pa,False,True,NON_GATING,required=False,67.81,124.018,68.0,,,0.827,0.548,CMV-1: Phase 3 pressure ODE — non-gating gap (SF fire persists vs CFAST extinction).
cfast_closed_t60_co2_upper_pct,False,True,NON_GATING,required=False,0.6491,0.374868,3.0,,,0.091,8.003,CMV-1: CO2 upper layer mol% — one-zone over-mixes vs two-zone (structural gap).
cfast_closed_t120_pressure_pa,True,True,FITTED,|diff|/tol=0.852 > 0.85,1192.38,1022.07,200.0,,,0.852,0.196,"Phase 3 ODE: thermodynamic pressure. Post-PHY-B1 SF=1192 Pa vs CFAST=1022 Pa at t=120s (diff=170, tol=200)."
cfast_closed_t120_co2_upper_pct,False,True,NON_GATING,required=False,2.2648,1.71445,3.0,,,0.183,1.750,CMV-1: CO2 upper layer mol% — one-zone over-mixes vs two-zone (structural gap).
cfast_closed_t240_pressure_pa,False,True,NON_GATING,required=False,7135.97,12.7462,7200.0,,,0.989,564.874,CMV-1: Phase 3 pressure ODE — non-gating gap (SF fire persists vs CFAST extinction).
cfast_closed_t240_co2_upper_pct,False,True,NON_GATING,required=False,10.0554,9.94217,3.0,,,0.038,0.302,CMV-1: CO2 upper layer mol% — one-zone over-mixes vs two-zone (structural gap).
cfast_closed_t360_pressure_pa,False,True,NON_GATING,required=False,1322.07,167.939,1200.0,,,0.962,7.145,CMV-1: Phase 3 pressure ODE — non-gating gap (SF fire persists vs CFAST extinction).
cfast_closed_t360_co2_upper_pct,False,True,NON_GATING,required=False,10.432,11.1406,3.0,,,0.236,0.269,CMV-1: CO2 upper layer mol% — one-zone over-mixes vs two-zone (structural gap).
cfast_closed_t480_pressure_pa,False,True,NON_GATING,required=False,471.77,168.174,320.0,,,0.949,1.903,CMV-1: Phase 3 pressure ODE — non-gating gap (SF fire persists vs CFAST extinction).
cfast_closed_t480_co2_upper_pct,False,True,NON_GATING,required=False,9.5158,11.886,3.0,,,0.790,0.252,CMV-1: CO2 upper layer mol% — one-zone over-mixes vs two-zone (structural gap).
cfast_closed_no_temperature_cap,True,True,A_PRIORI,no heuristic triggered,0.0,0.0,0.0,,,,,
cfast_closed_t60_o2_lower,False,True,NON_GATING,required=False,0.2089,0.204932,0.015,,,0.265,0.073,Fase 2A: lower-zone O2 (CFAST LLO2 near ambient; SF o2_lower now tracked independently — gap closes with two-zone doorway flow).
cfast_closed_t120_o2_lower,False,True,NON_GATING,required=False,0.2071,0.204932,0.015,,,0.145,0.073,Fase 2A: lower-zone O2 (CFAST LLO2 near ambient; SF o2_lower now tracked independently — gap closes with two-zone doorway flow).
cfast_closed_t210_o2_lower,False,True,NON_GATING,required=False,0.1928,0.204932,0.015,,,0.809,0.073,Fase 2A: lower-zone O2 (CFAST LLO2 near ambient; SF o2_lower now tracked independently — gap closes with two-zone doorway flow).
cfast_closed_t300_o2_lower,False,True,NON_GATING,required=False,0.0684,0.204932,0.139,,,0.982,0.678,Fase 2A: lower-zone O2 (CFAST LLO2 near ambient; SF o2_lower now tracked independently — gap closes with two-zone doorway flow).
cfast_closed_t450_o2_lower,False,True,NON_GATING,required=False,0.0429,0.204932,0.164,,,0.988,0.800,Fase 2A: lower-zone O2 (CFAST LLO2 near ambient; SF o2_lower now tracked independently — gap closes with two-zone doorway flow).
cfast_closed_t210_co_lower_ppm,False,True,NON_GATING,required=False,0.0,0.0,150.0,,,0.000,,Fase 2C: lower-zone CO now tracked via co_upper_kg; COl= ≈ 0 vs CFAST LLCO ≈ 0.
cfast_closed_t300_co_lower_ppm,False,True,NON_GATING,required=False,0.0,0.0,150.0,,,0.000,,Fase 2C: lower-zone CO now tracked via co_upper_kg; COl= ≈ 0 vs CFAST LLCO ≈ 0.
cfast_closed_t450_co_lower_ppm,False,True,NON_GATING,required=False,0.0,0.0,150.0,,,0.000,,Fase 2C: lower-zone CO now tracked via co_upper_kg; COl= ≈ 0 vs CFAST LLCO ≈ 0.
cfast_closed_rmse_temp_upper_c,True,True,A_PRIORI,no heuristic triggered,49.819885034055424,,,,60.0,,,"CMV-2 Stage-F: temp_upper RMSE ≤ 60°C sealed room (SF=49.8°C, margin 10°C)."
cfast_closed_rmse_o2,False,True,NON_GATING,required=False,0.01475735597763592,,,,0.025,,,CMV-2: O2 RMSE ≤ 0.025 (sealed room). Structural gap expected.
cfast_closed_rmse_co_upper_ppm,True,True,A_PRIORI,no heuristic triggered,400.118454970024,,,,600.0,,,"CMV-2 Stage-E: CO upper RMSE ≤ 600 ppm sealed room (SF=400.1ppm, margin 199ppm)."
cfast_closed_peak_temp_upper_c,True,True,A_PRIORI,no heuristic triggered,227.88,,,80.0,600.0,,,"1.5B Stage-D: sealed-room peak temp_upper in [80,600]°C (CFAST ~210°C; SF=228°C). Thermal development guard."
cfast_closed_peak_temp_timing,False,True,NON_GATING,required=False,260.0,200.0,90.0,,,0.667,0.450,1.5B: sealed-room peak temp timing within ±90s of CFAST.
cfast_closed_min_o2,False,True,NON_GATING,required=False,0.0426,,,0.0,0.15,,,1.5B: sealed-room O2 upper depletes below 15% (CFAST: ~8.5%).
cfast_slow_t300_o2,True,True,A_PRIORI,no heuristic triggered,0.164,0.164631,0.01,,,0.063,0.061,SGB-1: slow-growth O2 upper at t=300s — sealed depletion profile. tol=0.01 (≥3× step @0.0001).
cfast_slow_t480_o2,True,True,A_PRIORI,no heuristic triggered,0.078,0.083965,0.012,,,0.497,0.143,SGB-1: slow-growth O2 upper at t=480s — sealed depletion profile. tol=0.012 (≥3× step @0.0001).
cfast_slow_t600_o2,True,True,A_PRIORI,no heuristic triggered,0.0574,0.0696598,0.02,,,0.613,0.287,SGB-1: slow-growth O2 upper at t=600s — sealed depletion profile. tol=0.02 (≥3× step @0.0001).
cfast_slow_t900_o2,True,True,A_PRIORI,no heuristic triggered,0.0532,0.0459719,0.015,,,0.482,0.326,SGB-1: slow-growth O2 upper at t=900s — sealed depletion profile. tol=0.015 (≥3× step @0.0001).
cfast_slow_t1200_o2,True,True,VACUOUS,tol/|expected|=0.713 > 0.5,0.0522,0.0350666,0.025,,,0.685,0.713,SGB-1: slow-growth O2 upper at t=1200s — sealed depletion profile. tol=0.025 (≥3× step @0.0001).
cfast_slow_t480_temp_upper_c,True,True,A_PRIORI,no heuristic triggered,144.87,151.003,10.0,,,0.613,0.066,SGB-1: slow-growth temp_upper at t=480s. O2-depleted steady-state; tol=10.0°C (≥3× @0.1°C).
cfast_slow_t600_temp_upper_c,True,True,A_PRIORI,no heuristic triggered,141.92,152.025,15.0,,,0.674,0.099,SGB-1: slow-growth temp_upper at t=600s. O2-depleted steady-state; tol=15.0°C (≥3× @0.1°C).
cfast_slow_t120_temp_upper_c,False,True,NON_GATING,required=False,30.23,39.6869,15.0,,,0.630,0.378,SGB-1 (non-gating): Phase 1.5 one-zone heating gap at t=120s. CFAST two-zone upper layer hotter during growth phase.
cfast_slow_t240_temp_upper_c,False,True,NON_GATING,required=False,62.8,104.933,50.0,,,0.843,0.476,SGB-1 (non-gating): Phase 1.5 one-zone heating gap at t=240s. CFAST two-zone upper layer hotter during growth phase.
cfast_slow_t300_temp_upper_c,False,True,NON_GATING,required=False,100.5,154.196,60.0,,,0.895,0.389,SGB-1 (non-gating): Phase 1.5 one-zone heating gap at t=300s. CFAST two-zone upper layer hotter during growth phase.
cfast_slow_t240_pressure_pa,False,True,NON_GATING,required=False,1.99,176.193,177.0,,,0.984,1.005,SGB-1 (non-gating): Phase 3 — thermodynamic vs buoyancy pressure model gap.
cfast_slow_t480_pressure_pa,False,True,NON_GATING,required=False,3.67,23.1977,22.0,,,0.888,0.948,SGB-1 (non-gating): Phase 3 — thermodynamic vs buoyancy pressure model gap.
cfast_slow_t600_pressure_pa,False,True,NON_GATING,required=False,5.26,65.1494,63.0,,,0.951,0.967,SGB-1 (non-gating): Phase 3 — thermodynamic vs buoyancy pressure model gap.
cfast_slow_rmse_temp_upper_c,True,True,A_PRIORI,no heuristic triggered,40.451235250860904,,,,65.0,,,"SGB-2 Stage-E: slow-growth temp_upper RMSE ≤ 65°C (t=0–600s; SF=40.4°C, margin 24.5°C). Phase 1.5 growth-phase gap accounts for 40°C; tol=65 (246 steps @0.1°C)."
cfast_slow_min_o2_upper,False,True,NON_GATING,required=False,0.0522,,,0.0,0.1,,,"SGB-2: slow-growth O2 upper depletes below 10% in sealed room (CFAST 2.8%, SF 5.2% at t=1800 s — both confirm depletion)."
cfast_pool_t60_o2,True,True,A_PRIORI,no heuristic triggered,0.2047,0.195612,0.015,,,0.606,0.077,PFO-1: pool fire O2 upper at t=60s — ventilated room near-ambient. tol=0.015 (≥3× step @0.0001).
cfast_pool_t120_o2,True,True,A_PRIORI,no heuristic triggered,0.2017,0.194288,0.015,,,0.494,0.077,PFO-1: pool fire O2 upper at t=120s — ventilated room near-ambient. tol=0.015 (≥3× step @0.0001).
cfast_pool_t300_o2,True,True,A_PRIORI,no heuristic triggered,0.1959,0.19403800000000002,0.008,,,0.233,0.041,PFO-1: pool fire O2 upper at t=300s — ventilated room near-ambient. tol=0.008 (≥3× step @0.0001).
cfast_pool_t600_o2,True,True,A_PRIORI,no heuristic triggered,0.1905,0.194087,0.01,,,0.359,0.052,PFO-1: pool fire O2 upper at t=600s — ventilated room near-ambient. tol=0.01 (≥3× step @0.0001).
cfast_pool_t900_o2,True,True,A_PRIORI,no heuristic triggered,0.187,0.19412700000000002,0.015,,,0.475,0.077,PFO-1: pool fire O2 upper at t=900s — ventilated room near-ambient. tol=0.015 (≥3× step @0.0001).
cfast_pool_rmse_temp_upper_c,True,True,A_PRIORI,no heuristic triggered,41.870278524996934,,,,55.0,,,"PFO-2 Stage-F: pool fire temp_upper RMSE ≤ 55°C (SF=41.9°C, margin 13°C). Phase 1.5 open-room gap documented."
cfast_pool_min_o2_upper,False,True,NON_GATING,required=False,0.187,,,0.15,0.21,,,"PFO-2: pool fire O2 upper stays > 15% in ventilated room (CFAST: 19.4%, SF: 18.7% min — confirms open-window replenishment)."
cfast_pool_t60_temp_upper_c,False,True,NON_GATING,required=False,43.76,65.6364,25.0,,,0.875,0.381,PFO-1 (non-gating): Phase 1.5 open-room gap at t=60s. CFAST two-zone stratifies hot ceiling; SF one-zone outside cooling. Gap ≈23°C.
cfast_pool_t300_temp_upper_c,False,True,NON_GATING,required=False,25.64,71.0704,50.0,,,0.909,0.704,PFO-1 (non-gating): Phase 1.5 open-room gap at t=300s. CFAST two-zone stratifies hot ceiling; SF one-zone outside cooling. Gap ≈48°C.
cfast_pool_t900_temp_upper_c,False,True,NON_GATING,required=False,22.04,72.3939,55.0,,,0.916,0.760,PFO-1 (non-gating): Phase 1.5 open-room gap at t=900s. CFAST two-zone stratifies hot ceiling; SF one-zone outside cooling. Gap ≈53°C.
cfast_chain_r0_t180_temp_upper_c,True,True,A_PRIORI,no heuristic triggered,156.78,158.005,15.0,,,0.082,0.095,CCH-1: corridor chain R0 fire room temp_upper at t=180s. tol=15.0°C (≥3× @0.1°C).
cfast_chain_r0_t300_temp_upper_c,True,True,A_PRIORI,no heuristic triggered,157.6,165.835,20.0,,,0.412,0.121,CCH-1: corridor chain R0 fire room temp_upper at t=300s. tol=20.0°C (≥3× @0.1°C).
cfast_chain_r0_t600_temp_upper_c,True,True,A_PRIORI,no heuristic triggered,143.41,168.39,30.0,,,0.833,0.178,CCH-1: corridor chain R0 fire room temp_upper at t=600s. tol=30.0°C (≥3× @0.1°C).
cfast_chain_r0_o2_t480_o2,True,True,A_PRIORI,no heuristic triggered,0.0939,0.11732799999999999,0.028,,,0.837,0.239,CCH-1: corridor chain R0 O2 upper at t=480s. tol=0.028 (≥3× step @0.0001).
cfast_chain_r0_o2_t600_o2,True,True,A_PRIORI,no heuristic triggered,0.0917,0.101968,0.015,,,0.685,0.147,CCH-1: corridor chain R0 O2 upper at t=600s. tol=0.015 (≥3× step @0.0001).
cfast_chain_r0_rmse_temp_upper,True,True,A_PRIORI,no heuristic triggered,20.54048365480959,,,,30.0,,,"CCH-2 Stage-F: corridor chain R0 temp_upper RMSE ≤ 30°C (SF=20.5°C, margin 9°C)."
cfast_chain_r2_o2_t480_o2,True,True,FITTED,|diff|/tol=0.874 > 0.85,0.1838,0.135705,0.055,,,0.874,0.405,CCH-1: corridor chain R2 O2 upper at t=480s — smoke reaches far room. tol=0.055 (≥3× @0.0001).
cfast_chain_r2_o2_t600_o2,True,True,FITTED,|diff|/tol=0.924 > 0.85,0.1698,0.119003,0.055,,,0.924,0.462,CCH-1: corridor chain R2 O2 upper at t=600s — smoke reaches far room. tol=0.055 (≥3× @0.0001).
cfast_chain_r2_min_o2_smoke_arrival,False,True,NON_GATING,required=False,0.1709,,,0.0,0.2,,,"CCH-2: corridor chain R2 O2 min < 20% — confirms smoke transport to far room (SF min=17.0%, CFAST min=11.9%)."
cfast_chain_r1_temp_t300_temp_upper_c,False,True,NON_GATING,required=False,41.73,97.746,60.0,,,0.934,0.614,CCH-1 (non-gating): Phase 1.5 corridor heating gap at t=300s. CFAST two-zone doorway warms Hall ~98°C; SF one-zone ~42°C. Gap=56°C < tol=60°C (margin 40 steps).
cfast_chain_r2_temp_t300_temp_upper_c,False,True,NON_GATING,required=False,32.16,63.3018,35.0,,,0.890,0.553,CCH-1 (non-gating): Phase 1.5 far-room heating gap at t=300s. CFAST R2 upper ~63°C; SF R2 ~32°C — two-zone corridor transport. Gap=31.1°C < tol=35°C (margin 39 steps).
cfast_chain_r1_o2_t480_o2,False,True,NON_GATING,required=False,0.1879,0.125443,0.065,,,0.961,0.518,CCH-1 (non-gating): Phase 2A corridor O2 transport lag at t=480s. CFAST R1 O2=12.5% (two-zone doorway); SF R1=18.8% (one-zone lag). Gap=0.0625 < tol=0.065 (margin 25 steps).
cfast_bed_o2_t120_o2,True,True,A_PRIORI,no heuristic triggered,0.1898,0.18698599999999999,0.008,,,0.352,0.043,BCD-1: bedroom O2 upper at t=120s. tol=0.008 (≥3× step @0.0001). Both models: sealed O2 depletion.
cfast_bed_o2_t300_o2,True,True,A_PRIORI,no heuristic triggered,0.119,0.116653,0.008,,,0.293,0.069,BCD-1: bedroom O2 upper at t=300s. tol=0.008 (≥3× step @0.0001). Both models: sealed O2 depletion.
cfast_bed_o2_t480_o2,True,True,A_PRIORI,no heuristic triggered,0.0958,0.0809916,0.02,,,0.740,0.247,BCD-1: bedroom O2 upper at t=480s. tol=0.02 (≥3× step @0.0001). Both models: sealed O2 depletion.
cfast_bed_o2_t600_o2,True,True,A_PRIORI,no heuristic triggered,0.0879,0.0705026,0.023,,,0.756,0.326,BCD-1: bedroom O2 upper at t=600s. tol=0.023 (≥3× step @0.0001). Both models: sealed O2 depletion.
cfast_bed_o2_t720_o2,True,True,A_PRIORI,no heuristic triggered,0.0832,0.0622151,0.026,,,0.807,0.418,BCD-1: bedroom O2 upper at t=720s. tol=0.026 (≥3× step @0.0001). Both models: sealed O2 depletion.
cfast_bed_min_o2_lethal,False,True,NON_GATING,required=False,0.0793,,,0.0,0.1,,,"BCD-2: bedroom O2 upper < 10% (lethal depletion in sealed room). SF min=7.93%, CFAST min=5.34%. 207 steps @0.0001."
cfast_bed_fed_lethal,True,True,VACUOUS,actual=30.9 >> 5.0× min=1,30.899,,,1.0,,,,"BCD-2 Stage-D: bedroom FED > 1.0 (lethal gas dose before 900s; SF max=30.9). SF FED crosses 1.0 at t=250s (CO=5026 ppm, O2u=13.1%). Lethal-dose guard."
cfast_bed_rmse_temp_upper,True,True,A_PRIORI,no heuristic triggered,66.38866356094657,,,,80.0,,,"BCD-2 Stage-F: bedroom temp_upper RMSE ≤ 80°C (SF=66.4°C, margin 13°C). Phase 1.5 structural documented."
